find_name	find_taxid	find_taxrank
Burkholderia pseudomallei	28450	species
Burkholderia pseudomallei	28450	species
Burkholderia thailandensis	57975	species
Burkholderia pseudomallei	28450	species
Burkholderia thailandensis	57975	species
Burkholderia thailandensis	57975	species
Burkholderia thailandensis	57975	species
Burkholderia pseudomallei	28450	species
Burkholderia pseudomallei	28450	species
Burkholderia cenocepacia	95486	species
Burkholderia cenocepacia	95486	species
Burkholderia pseudomallei	28450	species
Butyrivibrio	830	genus
Campylobacter jejuni	197	species
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter jejuni	197	species
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter jejuni subsp. jejuni 00-2425	1357994	strain
Campylobacter jejuni	197	species
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter jejuni	197	species
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter sp.	205	species
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter jejuni subsp. jejuni PT14	1201032	strain
Campylobacter jejuni subsp. jejuni	32022	subspecies
Campylobacter jejuni	197	species
Campylobacter jejuni	197	species
Campylobacter jejuni	197	species
Campylobacter jejuni	197	species
Campylobacter sp.	205	species
Campylobacter jejuni	197	species
Caulobacter vibrioides CB15	190650	strain
Caulobacter vibrioides CB15	190650	strain
Caulobacter vibrioides	155892	species
Caulobacter vibrioides CB15	190650	strain
Caulobacter vibrioides CB15	190650	strain
Caulobacter vibrioides CB15	190650	strain
Caulobacter vibrioides	155892	species
Caulobacter sp.	78	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Caulobacter vibrioides	155892	species
Celeribacter marinus	1397108	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica 18	1348584	strain
Cellulophaga baltica	76594	species
Cellulophaga baltica 18	1348584	strain
Cellulophaga baltica	76594	species
Cellulophaga baltica 18	1348584	strain
Cellulophaga baltica	76594	species
Cellulophaga baltica 18	1348584	strain
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica NN016038	1348585	strain
Cellulophaga baltica NN016038	1348585	strain
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga baltica	76594	species
Cellulophaga	104264	genus
Cellulophaga	104264	genus
Chlamydia psittaci	83554	species
Chlamydia abortus	83555	species
Chlamydia felis	83556	species
Chlamydia caviae GPIC	227941	isolate
Chlamydia pecorum E58	331635	strain
Chlamydia abortus	83555	species
Chlamydia psittaci	83554	species
Chlamydia psittaci	83554	species
Chlamydia pneumoniae AR39	115711	strain
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter rodentium	67825	species
Citrobacter rodentium	67825	species
Citrobacter	544	genus
Citrobacter freundii	546	species
Citrobacter sp.	1896336	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter rodentium	67825	species
Citrobacter rodentium	67825	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter freundii	546	species
Citrobacter rodentium	67825	species
Citrobacter rodentium	67825	species
Citrobacter amalonaticus	35703	species
Clavibacter michiganensis subsp. michiganensis	33013	subspecies
Clavibacter michiganensis	28447	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridium botulinum C str. Stockholm	929505	strain
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens ATCC 13124	195103	strain
Clostridium perfringens	1502	species
Clostridioides difficile	1496	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium	1485	genus
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridioides difficile	1496	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium perfringens	1502	species
Clostridium tetani	1513	species
